"状态","功能","给小鸭CEO/VC的解释","当前判断","验证下一步"
"回答约束","不要过度承诺","回答 ship status 时必须说最小 demo/smoke、完整测试、真实 E2E、DOGFOOD/BUGREPORT 固定流程已验证；doctor 仍只是部分验证；不要把部分验证说成全量产品闭环。","不要说 `pnpm teamagent --help` 出 JSON；它只是成功打印 help/命令菜单；回答当前 ship status 时只根据本 CSV 汇总，不要自行运行额外验证命令。","如果 claudefast 回答过度技术化、claim doctor 全绿、或漏掉最新状态，更新本 CSV 后重跑。"
"已验证","产品入口能打开","鸭总能看到产品菜单，说明不是空壳，能被真实启动。","可作为最小演示卖点；`pnpm teamagent --help` 已通过。","保持 smoke 验证，发版前再跑一次。"
"已验证","最小学习闭环演示","系统能演示记录经验、编译规则、展示归因这条最小链路。","可作为核心概念 demo；`pnpm teamagent skeleton-demo` 已通过。","发版前确认 walking skeleton 仍通过。"
"已验证","安全试吃沙箱","新改动可以先放进隔离环境里试，不直接污染主工作区。","DOGFOOD Tier 2 / Tier 3 sandbox probe 已通过；可讲沙箱隔离本体。","不要 claim Tier 4，除非 Docker 环境下跑通。"
"流程已验证","快速调研流程","遇到复杂问题，可以让多个快 agent 并行调研，再给 CEO 汇总结论。","FASTPROBE 基础流程和关键 flag 已验证；这是项目工作流，不作为 product-only feature claim。","重活继续先跑 `claudefast -h`，再最多 8 路并行。"
"流程已验证","PR 后复查流程","合 PR 后不是只看绿灯，还会继续抓 Codex review，直到问题清干净。","POSTPR canned answer 已验证通过；这是发版流程，不作为 product-only feature claim。","真实 PR 仍需实际 fetch Codex inline comments。"
"门禁已验证","最小质量线","基础检查和最小冒烟测试通过，说明核心小版本能跑。","`pnpm typecheck` 通过；最小 release-smoke 4 files / 24 tests 通过；这是工程门禁，不是产品功能。","发版前把完整测试失败项单独列为 blocker 或明确 punt。"
"部分验证","环境体检","系统能检查环境健康，告诉团队哪里准备好了、哪里还缺初始化。","能展示；`doctor --json` 当前 node-version、claude-code、sqlite-vec、home-dir、knowledge-db 通过，但 `hook-registered` 失败，team-sharing 仍 skip/PARTIAL。","注册当前项目 hook 后重跑 doctor，确认 allPassed: true；team-sharing 完成前不要 claim 团队共享已就绪。"
"已声明未验证","装上后后台运行","用户正常用 Claude Code，TeamAgent 在背后学习、提醒和记录，不要求用户改变工作方式。","这是核心产品主张，但本轮没有从干净安装到后台运行做端到端验证。","用干净环境从安装开始走一遍，确认无需额外配置也能自动工作。"
"已验证","AI 犯错前提醒","AI 准备走错路时，系统提前提醒或建议更好的做法，避免错误真正落地。","`pnpm -s teamagent e2e-evaluate --json` 已通过：positiveTriggerRate=1、generalizationRate=1、falsePositiveRate=0，PreToolUse 对 axios/moment/redux 场景会阻止或放行正确。","可讲窄口径：已有经验命中时能提醒/阻止；不要说所有常见错误默认都会自动拦住。"
"已验证","纠正一次，下次记住","用户纠正 AI 一次后，系统把这次教训变成以后可复用的经验。","`pnpm -s teamagent e2e-evaluate --json` 已通过：correctionsFound=3、extracted=3、learnedRules=3、skillsExported=true、docsPropagationScheduled=true。","可讲窄口径：纠正会进入可复用规则并在后续同类 probe 命中；真实多人/团队传播仍另算。"
"已验证","知识会进化","有用经验会更可信，没用或过时经验会降级，避免团队大脑越来越乱。","最小验证通过：校准测试覆盖成功/失败信号、置信度、tier、demerit 变化，Stop 流程会跑 calibrate。","发版前可保留为最小已验证；若要讲长期效果，需要真实使用数据。"
"部分验证","三层知识管理","个人经验、团队经验、通用经验分开管理，避免私人习惯污染团队规则。","personal/team/global 本地 scope 已可分开写入、读取、统计；团队共享、同步、隐私脱敏、审核门未完整闭环。","可说本地三层 scope 已部分验证；不能说多人自动共享已就绪。"
"已验证","看得见的统计","CEO 可以看到系统学到了多少经验、拦住多少坑、团队是否真的在变聪明。","`teamagent stats` 已验证可显示总数、active、personal/team/global 分布、分类分布和最近新增。","若作为 CEO demo，补一次截图或固定输出样例。"
"已验证","主动记录坑点","用户不用等 AI 犯错，可以主动把一个坑记进系统，让团队以后少踩一次。","`pitfall --non-interactive` 已验证可写入临时 knowledge.db，并在 stats/review 中可见。","若要验证提醒效果，再复现相关场景确认命中。"
"部分验证","团队审核门","个人经验进入团队前先检查，防止坏知识、重复知识或敏感内容污染大家。","`review-candidates --approve-scope=team` 已验证可把候选规则经人工批准后写成本地 team scope；含邮箱、内部主机、token、私有路径等敏感字段的候选会被本地隐私守门拦截。但冲突仲裁、多人共享流程仍未完整验证。","需要完成冲突审核和跨成员共享闭环后，才能 claim 完整团队审核门。"
"门禁已验证","完整测试绿灯","基础测试门禁当前全绿，说明本轮代码层回归没有已知红灯。","`pnpm test` 当前通过：144/144 test files、1468/1468 tests。","发版前仍需重跑；这是工程门禁，不是产品功能。"
"门禁已验证","真实 E2E 评估流程","真实学习/触发评估流程已跑通，可以支撑最小学习闭环和提醒能力。","`pnpm -s teamagent e2e-evaluate --json` exit 0，ok=true，10/10 probes passed。","继续保留 raw JSON 证据；不要把它外推成所有真实用户会话都已验证。"
"部分验证","全功能沙箱 E2E","沙盒演练的非交互、非破坏路径已通过，但不能 claim 全场景安全。","`pnpm test` 中 `sandbox-all-features.test.ts` 已通过 94 tests；该测试自身限定为 non-interactive, non-destructive paths。","若要 claim 全功能/全场景沙箱，需要补交互式、破坏性路径和隔离边界证据。"
"流程已验证","报 bug 固定流程","用户发现 bug 时有固定 issue 模板和收集口径。","`docs/bugreport/verify-canned-answer.sh` 在本轮 rule sweep 中 PASS；CLI `bug-report` 单测也在 `pnpm test` 中通过。","发版前可再跑 canned answer verifier，确认 great detail/system info/raw logs 锚点仍命中。"
"流程已验证","DOGFOOD 固定话术","DOGFOOD 触发说明当前稳定，能正确解释双 pane 沙箱 loop。","`docs/dogfood/verify-canned-answer.sh` 在本轮 rule sweep 中 PASS。","这只是话术/流程验证；沙箱本体仍按 Tier 2 / Tier 3 口径讲。"
"文档规划","团队经验自动共享","张三踩过的坑，李四明天的 AI 自动知道。","这是最强 CEO 故事，但本轮未验证。","需要双用户或双 instance 真实同步验证。"
"文档规划","新同事继承团队经验","新人第一天就像带着老员工经验开工。","融资故事强，但本轮未验证。","需要干净新用户环境验证 onboarding。"
"文档规划","团队知识自动同步","不用开会、不用手动写文档，经验自动上传下载。","Phase 级规划，本轮未验证。","需要上传、下载、冲突、回滚完整链路。"
